Time[s],DEV1_db::CSDO_001::CCS,DEV1_db::HBGuard_001::Toggle,DEV1_db::HBGuard_001::State,DEV1_db::HBGuard_008::Toggle,DEV1_db::HBGuard_008::State,DEV1_db::N8_TPDO0::Temp_2,DEV1_db::N8_TPDO0::Temp_1,DEV1_db::N8_TPDO1::Temp_4,DEV1_db::N8_TPDO1::Temp_3,DEV1_db::N8_TPDO3::Voltage_Sensor_4,DEV1_db::N8_TPDO3::Voltage_Sensor_3,DEV1_db::NMTZeroMsg::Node_ID,DEV1_db::NMTZeroMsg::CS,DEV1_db::SSDO_001::SCS
4.706900,,,,,,,,,,,,21,1,
4.722650,,,,0,5,,,,,,,,,
4.927650,,0,5,,,,,,,,,,,
7.088850,,,,,,6798,6896,,,,,,,
7.178050,,0,5,,,,,,,,,,,
7.483600,,,,,,,,6211,23603,,,,,
8.273250,,,,,,,,,,113,114,,,
8.667700,,,,0,5,,,,,,,,,
9.428450,,0,5,,,,,,,,,,,
11.034400,,,,,,6211,6016,,,,,,,
11.429200,,,,,,,,6700,6798,,,,,
11.678950,,0,5,,,,,,,,,,,
12.218900,,,,,,,,,,117,115,,,
12.613400,,,,0,5,,,,,,,,,
13.929300,,0,5,,,,,,,,,,,
14.980150,,,,,,6309,6309,,,,,,,
15.375050,,,,,,,,6602,6993,,,,,
16.164750,,,,,,,,,,113,116,,,
16.179700,,0,5,,,,,,,,,,,
16.559350,,,,0,5,,,,,,,,,
18.430000,,0,5,,,,,,,,,,,
18.926100,,,,,,6505,7091,,,,,,,
19.320950,,,,,,,,6211,6505,,,,,
20.110650,,,,,,,,,,115,114,,,
20.505150,,,,0,5,,,,,,,,,
20.680400,,0,5,,,,,,,,,,,
22.871650,,,,,,7091,6798,,,,,,,
22.930900,,0,5,,,,,,,,,,,
23.266500,,,,,,,,24092,6700,,,,,
24.056100,,,,,,,,,,116,115,,,
24.450700,,,,0,5,,,,,,,,,
25.181200,,0,5,,,,,,,,,,,
26.422950,,,,,,6602,6700,,,,,,,
26.817800,,,,,,,,6309,6505,,,,,
27.431500,,0,5,,,,,,,,,,,
27.607600,,,,,,,,,,114,111,,,
28.002200,,,,0,5,,,,,,,,,
29.681900,,0,5,,,,,,,,,,,
29.974600,,,,,,6602,5918,,,,,,,
30.369450,,,,,,,,6700,23310,,,,,
31.159200,,,,,,,,,,116,116,,,
31.553800,,,,0,5,,,,,,,,,
31.921350,,0,5,,,,,,,,,,,
33.526200,,,,,,7189,6602,,,,,,,
33.921100,,,,,,,,7091,6798,,,,,
34.160700,,0,5,,,,,,,,,,,
34.710800,,,,,,,,,,118,115,,,
35.105400,,,,0,5,,,,,,,,,
36.399950,,0,5,,,,,,,,,,,
37.077850,,,,,,6407,6700,,,,,,,
37.472650,,,,,,,,6602,6896,,,,,
38.262400,,,,,,,,,,121,115,,,
38.639250,,0,5,,,,,,,,,,,
38.656900,,,,0,5,,,,,,,,,
40.629450,,,,,,6896,7091,,,,,,,
40.878700,,0,5,,,,,,,,,,,
41.024300,,,,,,,,6896,23896,,,,,
41.814100,,,,,,,,,,117,113,,,
42.603100,,,,0,5,,,,,,,,,
43.118200,,0,5,,,,,,,,,,,
44.575550,,,,,,6700,6700,,,,,,,
44.970350,,,,,,,,6700,6798,,,,,
45.357600,,0,5,,,,,,,,,,,
45.759950,,,,,,,,,,120,116,,,
46.548850,,,,0,5,,,,,,,,,
47.114000,,0,0,,,,,,,,,,,
47.596900,,0,5,,,,,,,,,,,
48.119000,,,,,,,,,,,,0,128,
48.119300,1,,,,,,,,,,,,,
48.119650,,,,,,,,,,,,,,3
48.119950,1,,,,,,,,,,,,,
48.120200,,,,,,,,,,,,,,3
48.120500,1,,,,,,,,,,,,,
48.120800,,,,,,,,,,,,,,3
48.121100,1,,,,,,,,,,,,,
48.121350,,,,,,,,,,,,,,3
48.121650,1,,,,,,,,,,,,,
48.121900,,,,,,,,,,,,,,3
48.122150,1,,,,,,,,,,,,,
48.122400,,,,,,,,,,,,,,3
48.122600,1,,,,,,,,,,,,,
48.122850,,,,,,,,,,,,,,3
48.123100,1,,,,,,,,,,,,,
48.123350,,,,,,,,,,,,,,3
48.123600,1,,,,,,,,,,,,,
48.123850,,,,,,,,,,,,,,3
48.124100,1,,,,,,,,,,,,,
48.124350,,,,,,,,,,,,,,3
48.124550,1,,,,,,,,,,,,,
48.124800,,,,,,,,,,,,,,3
48.125050,1,,,,,,,,,,,,,
48.125300,,,,,,,,,,,,,,3
48.125550,1,,,,,,,,,,,,,
48.125800,,,,,,,,,,,,,,3
48.126000,1,,,,,,,,,,,,,
48.126300,,,,,,,,,,,,,,3
48.126500,1,,,,,,,,,,,,,
48.126750,,,,,,,,,,,,,,3
48.127000,1,,,,,,,,,,,,,
48.127250,,,,,,,,,,,,,,3
48.127500,1,,,,,,,,,,,,,
48.127750,,,,,,,,,,,,,,3
48.127950,1,,,,,,,,,,,,,
48.128250,,,,,,,,,,,,,,3
48.128500,1,,,,,,,,,,,,,
48.128750,,,,,,,,,,,,,,3
48.129050,1,,,,,,,,,,,,,
48.129300,,,,,,,,,,,,,,3
48.129600,1,,,,,,,,,,,,,
48.129850,,,,,,,,,,,,,,3
48.130150,1,,,,,,,,,,,,,
48.130400,,,,,,,,,,,,,,3
48.130650,1,,,,,,,,,,,,,
48.130950,,,,,,,,,,,,,,3
48.131250,1,,,,,,,,,,,,,
48.131500,,,,,,,,,,,,,,3
48.132350,1,,,,,,,,,,,,,
48.132600,,,,,,,,,,,,,,3
48.132850,1,,,,,,,,,,,,,
48.133100,,,,,,,,,,,,,,3
48.133350,1,,,,,,,,,,,,,
48.133600,,,,,,,,,,,,,,3
48.133900,1,,,,,,,,,,,,,
48.134150,,,,,,,,,,,,,,3
48.134400,1,,,,,,,,,,,,,
48.134650,,,,,,,,,,,,,,3
48.134900,1,,,,,,,,,,,,,
48.135150,,,,,,,,,,,,,,3
48.135350,1,,,,,,,,,,,,,
48.135600,,,,,,,,,,,,,,3
48.135850,1,,,,,,,,,,,,,
48.136100,,,,,,,,,,,,,,3
48.136300,1,,,,,,,,,,,,,
48.136550,,,,,,,,,,,,,,3
48.136800,1,,,,,,,,,,,,,
48.137050,,,,,,,,,,,,,,3
48.137250,1,,,,,,,,,,,,,
48.137500,,,,,,,,,,,,,,3
48.137750,1,,,,,,,,,,,,,
48.138000,,,,,,,,,,,,,,3
48.138250,1,,,,,,,,,,,,,
48.138500,,,,,,,,,,,,,,3
48.138750,1,,,,,,,,,,,,,
48.139000,,,,,,,,,,,,,,3
48.139200,1,,,,,,,,,,,,,
48.139500,,,,,,,,,,,,,,3
48.139750,1,,,,,,,,,,,,,
48.140000,,,,,,,,,,,,,,3
48.140250,1,,,,,,,,,,,,,
48.140550,,,,,,,,,,,,,,3
48.140850,1,,,,,,,,,,,,,
48.141100,,,,,,,,,,,,,,3
48.141400,1,,,,,,,,,,,,,
48.141650,,,,,,,,,,,,,,3
48.141900,1,,,,,,,,,,,,,
48.142200,,,,,,,,,,,,,,3
48.142450,1,,,,,,,,,,,,,
48.142800,,,,,,,,,,,,,,3
48.143200,1,,,,,,,,,,,,,
48.143500,,,,,,,,,,,,,,3
48.143750,1,,,,,,,,,,,,,
48.144000,,,,,,,,,,,,,,3
48.144300,1,,,,,,,,,,,,,
48.144950,1,,,,,,,,,,,,,
48.145200,,,,,,,,,,,,,,3
48.145500,1,,,,,,,,,,,,,
48.145800,,,,,,,,,,,,,,3
48.146050,1,,,,,,,,,,,,,
48.146300,,,,,,,,,,,,,,3
48.146550,1,,,,,,,,,,,,,
48.146800,,,,,,,,,,,,,,3
48.147050,1,,,,,,,,,,,,,
48.147300,,,,,,,,,,,,,,3
48.147500,1,,,,,,,,,,,,,
48.147750,,,,,,,,,,,,,,3
48.148000,1,,,,,,,,,,,,,
48.148300,,,,,,,,,,,,,,3
48.148550,1,,,,,,,,,,,,,
48.148750,,,,,,,,,,,,,,3
48.149000,1,,,,,,,,,,,,,
48.149250,,,,,,,,,,,,,,3
48.149500,1,,,,,,,,,,,,,
48.149750,,,,,,,,,,,,,,3
48.150000,1,,,,,,,,,,,,,
48.150300,,,,,,,,,,,,,,3
48.150650,1,,,,,,,,,,,,,
48.150950,,,,,,,,,,,,,,3
48.151250,1,,,,,,,,,,,,,
48.151600,,,,,,,,,,,,,,3
48.151900,1,,,,,,,,,,,,,
48.152200,,,,,,,,,,,,,,3
48.152450,1,,,,,,,,,,,,,
48.152700,,,,,,,,,,,,,,3
48.152900,1,,,,,,,,,,,,,
48.153200,,,,,,,,,,,,,,3
48.153450,1,,,,,,,,,,,,,
48.153700,,,,,,,,,,,,,,3
48.153950,1,,,,,,,,,,,,,
48.154250,,,,,,,,,,,,,,3
48.154500,1,,,,,,,,,,,,,
48.154750,,,,,,,,,,,,,,3
48.154900,,,,,,,,,,,,0,128,
48.155150,1,,,,,,,,,,,,,
